id,area,lat,lng
1637,Лениногорск,54.58694077,52.43239594
1195,Краснокаменск,50.0929985,118.032341
1794,Кимры,56.87327576,37.35578156
1635,Зеленодольск (Республика Татарстан),55.84281921,48.49217987
5098,Приаргунск,50.36863327,119.09076691
2437,Степногорск,52.3463707,71.88049316
1866,Киров (Калужская область),54.08107376,34.30770493
1140,Тулун,54.56030273,100.57904053
1247,Топки,55.27621078,85.6204834
1618,Новоульяновск,54.14766312,48.38647842
1212,Татарск,55.2212677,75.98466492
3698,Кугеси,56.02810669,47.29677582
3717,Игра,57.55081558,53.04841232
2950,Макинск,52.63286972,70.41821289
4631,Карымское,51.62254333,114.35379791
318,Словакия,48.70747757,19.48480606
4302,Коммунарка,55.55966187,37.4691925
1260,Стрежевой,60.7327652,77.60406494
2047,Черноголовка,56.0098114,38.3773613
1848,Бутурлиновка,50.82830048,40.58826065
1611,Хвалынск,52.49263763,48.10285187
2082,Фрязино,55.95288086,38.05315018
2821,Болниси,41.44968033,44.54297638
6595,Владимиро-Александровское,42.88809967,133.07325745
1113,Рославль,53.94796753,32.8577652
5134,Кандры,54.55578995,54.11384964
3783,Красногвардейское (Ставропольский край),45.83646393,41.51261902
1538,Зверево,48.03088379,40.12048721
1110,Духовщина,55.19001389,32.40459824
6334,Горки Ленинские,55.50986862,37.77886963
1416,Лабытнанги,66.65963745,66.38618469
1148,Ачинск,56.26358414,90.49446106
2048,Электроугли,55.71699905,38.20000076
1259,Северск (Томская область),56.60638428,84.8867569
5178,Нижний Баскунчак,48.21915054,46.83139038
164,Балхаш,46.08569717,74.29686737
1154,Железногорск (Красноярский край),56.25093842,93.5328598
3682,Волоконовка,50.48694992,37.84103012
1443,Белореченск,44.76545334,39.87202072
115,Киев,50.44974899,30.52371788
2017,Тосно,59.54510498,30.86951828
2952,Жетысай,40.77713394,68.32467651
4129,Парфино,57.9750824,31.64679146
1161,Лесосибирск,58.24332047,92.47962952
1600,Балашов,51.54365921,43.1793251
6105,Дорохово (Московская область),55.54217911,36.37673187
4023,Рощино (Ленинградская область),60.25609589,29.61486626
2827,Каспи,41.92770004,44.42168427
2996,Белоозёрский (Московская область),55.4583931,38.44638062
21,Великобритания,54.00064087,-2.59318709
2750,Петергоф,59.88088989,29.90318108
1448,Кореновск,45.46590805,39.44924545
1868,Кондрово,54.79842758,35.92410278
2108,Индонезия,-0.199674,114.00997925
1141,Усолье-Сибирское,52.75872421,103.63721466
5557,Понежукай,44.88877106,39.38132095
1452,Лабинск,44.63700867,40.7228775
2093,Лыткарино,55.57999039,37.90876007
4841,Линево (Новосибирская область),54.45780945,83.37766266
2109,Йемен,16.3471241,47.89152527
2044,Наро-Фоминск,55.38414001,36.72289276
6184,Новозавидовский,56.56339645,36.42700577
1735,Струнино,56.37105942,38.57743835
1413,Юрюзань,54.86700058,58.43299866
3766,Ессентукская,44.02440262,42.86259842
1707,Михайлов,53.62127304,64.25291443
1377,Покачи,61.74419022,75.59723663
6352,Новое Ступино,54.88690948,38.07837677
4654,Петропавловка (Республика Бурятия),50.60839844,105.31118011
2091,Красноармейск (Московская область),56.10314178,38.13665009
1211,Обь,55.72029495,83.74698639
1067,Кировск (Мурманская область),67.61497498,33.67132187
1155,Заозерный,55.9668808,94.71136475
2327,Смолевичи,54.02911758,28.08585358
245,Камбоджа,12.71154022,104.91756439
1280,Карпинск,59.77254868,60.0041008
2072,Пущино,54.83169174,37.63048553
1621,Волжск,55.85713959,48.3677063
2087,Железнодорожный,55.75065613,38.00820923
